ID,Empresa,Role,Apply date,Link,Status,ATS,Resume
0001,TechShack,Engineering Manager,1/19/2026,https://www.linkedin.com/jobs/view/4346194735,Sent,local\0001_TechShack\resume_Gustavo_Castro.pdf,
0002,The Princeton Review,Lead Engineering manager,1/19/2026,https://www.linkedin.com/jobs/view/4350283231/,Sent,local\0002_ThePrincetonReview\resume_.pdf
